k, i, j, t, w, pr
1, 1, 2, 0, 7, 0.25
1, 1, 5, 0, 9, 0.25
1, 2, 3, 0, 8, 0.25
1, 2, 6, 0, 8, 0.25
1, 3, 4, 0, 5, 0.25
1, 3, 7, 0, 6, 0.25
1, 4, 8, 0, 6, 0.25
1, 5, 6, 0, 7, 0.25
1, 5, 9, 0, 7, 0.25
1, 6, 7, 0, 7, 0.25
1, 6, 10, 0, 7, 0.25
1, 7, 8, 0, 7, 0.25
1, 7, 11, 0, 6, 0.25
1, 8, 12, 0, 8, 0.25
1, 9, 10, 0, 8, 0.25
1, 9, 13, 0, 2, 0.25
1, 10, 11, 0, 3, 0.25
1, 10, 14, 0, 6, 0.25
1, 11, 12, 0, 6, 0.25
1, 11, 15, 0, 3, 0.25
1, 12, 16, 0, 2, 0.25
1, 13, 14, 0, 7, 0.25
1, 14, 15, 0, 8, 0.25
1, 15, 16, 0, 8, 0.25
1, 1, 2, 1, 4, 0.25
1, 1, 5, 1, 7, 0.25
1, 2, 3, 1, 1, 0.25
1, 2, 6, 1, 1, 0.25
1, 3, 4, 1, 5, 0.25
1, 3, 7, 1, 7, 0.25
1, 4, 8, 1, 5, 0.25
1, 5, 6, 1, 5, 0.25
1, 5, 9, 1, 3, 0.25
1, 6, 7, 1, 3, 0.25
1, 6, 10, 1, 6, 0.25
1, 7, 8, 1, 6, 0.25
1, 7, 11, 1, 5, 0.25
1, 8, 12, 1, 3, 0.25
1, 9, 10, 1, 8, 0.25
1, 9, 13, 1, 9, 0.25
1, 10, 11, 1, 3, 0.25
1, 10, 14, 1, 3, 0.25
1, 11, 12, 1, 6, 0.25
1, 11, 15, 1, 2, 0.25
1, 12, 16, 1, 7, 0.25
1, 13, 14, 1, 2, 0.25
1, 14, 15, 1, 7, 0.25
1, 15, 16, 1, 4, 0.25
1, 1, 2, 2, 3, 0.25
1, 1, 5, 2, 8, 0.25
1, 2, 3, 2, 8, 0.25
1, 2, 6, 2, 7, 0.25
1, 3, 4, 2, 3, 0.25
1, 3, 7, 2, 9, 0.25
1, 4, 8, 2, 1, 0.25
1, 5, 6, 2, 4, 0.25
1, 5, 9, 2, 7, 0.25
1, 6, 7, 2, 3, 0.25
1, 6, 10, 2, 7, 0.25
1, 7, 8, 2, 6, 0.25
1, 7, 11, 2, 4, 0.25
1, 8, 12, 2, 4, 0.25
1, 9, 10, 2, 6, 0.25
1, 9, 13, 2, 1, 0.25
1, 10, 11, 2, 2, 0.25
1, 10, 14, 2, 3, 0.25
1, 11, 12, 2, 2, 0.25
1, 11, 15, 2, 4, 0.25
1, 12, 16, 2, 3, 0.25
1, 13, 14, 2, 6, 0.25
1, 14, 15, 2, 3, 0.25
1, 15, 16, 2, 9, 0.25
1, 1, 2, 3, 5, 0.25
1, 1, 5, 3, 4, 0.25
1, 2, 3, 3, 1, 0.25
1, 2, 6, 3, 7, 0.25
1, 3, 4, 3, 3, 0.25
1, 3, 7, 3, 8, 0.25
1, 4, 8, 3, 4, 0.25
1, 5, 6, 3, 3, 0.25
1, 5, 9, 3, 7, 0.25
1, 6, 7, 3, 8, 0.25
1, 6, 10, 3, 1, 0.25
1, 7, 8, 3, 3, 0.25
1, 7, 11, 3, 5, 0.25
1, 8, 12, 3, 5, 0.25
1, 9, 10, 3, 9, 0.25
1, 9, 13, 3, 8, 0.25
1, 10, 11, 3, 6, 0.25
1, 10, 14, 3, 8, 0.25
1, 11, 12, 3, 5, 0.25
1, 11, 15, 3, 7, 0.25
1, 12, 16, 3, 8, 0.25
1, 13, 14, 3, 9, 0.25
1, 14, 15, 3, 8, 0.25
1, 15, 16, 3, 3, 0.25
