k, i, j, t, w, pr
1, 1, 2, 0, 2, 0.17
1, 1, 4, 0, 6, 0.17
1, 2, 3, 0, 15, 0.17
1, 2, 5, 0, 16, 0.17
1, 3, 6, 0, 4, 0.17
1, 4, 5, 0, 20, 0.17
1, 4, 7, 0, 18, 0.17
1, 5, 6, 0, 26, 0.17
1, 5, 8, 0, 17, 0.17
1, 6, 9, 0, 6, 0.17
1, 7, 8, 0, 26, 0.17
1, 8, 9, 0, 7, 0.17
1, 1, 2, 1, 26, 0.17
1, 1, 4, 1, 6, 0.17
1, 2, 3, 1, 24, 0.17
1, 2, 5, 1, 4, 0.17
1, 3, 6, 1, 25, 0.17
1, 4, 5, 1, 11, 0.17
1, 4, 7, 1, 23, 0.17
1, 5, 6, 1, 19, 0.17
1, 5, 8, 1, 16, 0.17
1, 6, 9, 1, 26, 0.17
1, 7, 8, 1, 7, 0.17
1, 8, 9, 1, 25, 0.17
1, 1, 2, 2, 17, 0.17
1, 1, 4, 2, 15, 0.17
1, 2, 3, 2, 4, 0.17
1, 2, 5, 2, 17, 0.17
1, 3, 6, 2, 8, 0.17
1, 4, 5, 2, 17, 0.17
1, 4, 7, 2, 22, 0.17
1, 5, 6, 2, 24, 0.17
1, 5, 8, 2, 16, 0.17
1, 6, 9, 2, 13, 0.17
1, 7, 8, 2, 13, 0.17
1, 8, 9, 2, 20, 0.17
1, 1, 2, 3, 12, 0.17
1, 1, 4, 3, 15, 0.17
1, 2, 3, 3, 4, 0.17
1, 2, 5, 3, 4, 0.17
1, 3, 6, 3, 27, 0.17
1, 4, 5, 3, 3, 0.17
1, 4, 7, 3, 16, 0.17
1, 5, 6, 3, 19, 0.17
1, 5, 8, 3, 23, 0.17
1, 6, 9, 3, 19, 0.17
1, 7, 8, 3, 4, 0.17
1, 8, 9, 3, 14, 0.17
1, 1, 2, 4, 28, 0.17
1, 1, 4, 4, 7, 0.17
1, 2, 3, 4, 9, 0.17
1, 2, 5, 4, 10, 0.17
1, 3, 6, 4, 5, 0.17
1, 4, 5, 4, 6, 0.17
1, 4, 7, 4, 2, 0.17
1, 5, 6, 4, 14, 0.17
1, 5, 8, 4, 24, 0.17
1, 6, 9, 4, 21, 0.17
1, 7, 8, 4, 14, 0.17
1, 8, 9, 4, 14, 0.17
1, 1, 2, 5, 3, 0.17
1, 1, 4, 5, 29, 0.17
1, 2, 3, 5, 3, 0.17
1, 2, 5, 5, 10, 0.17
1, 3, 6, 5, 5, 0.17
1, 4, 5, 5, 8, 0.17
1, 4, 7, 5, 6, 0.17
1, 5, 6, 5, 21, 0.17
1, 5, 8, 5, 24, 0.17
1, 6, 9, 5, 22, 0.17
1, 7, 8, 5, 8, 0.17
1, 8, 9, 5, 13, 0.17
1, 1, 2, 6, 13, 0.17
1, 1, 4, 6, 1, 0.17
1, 2, 3, 6, 5, 0.17
1, 2, 5, 6, 28, 0.17
1, 3, 6, 6, 18, 0.17
1, 4, 5, 6, 23, 0.17
1, 4, 7, 6, 5, 0.17
1, 5, 6, 6, 22, 0.17
1, 5, 8, 6, 14, 0.17
1, 6, 9, 6, 14, 0.17
1, 7, 8, 6, 17, 0.17
1, 8, 9, 6, 5, 0.17
1, 1, 2, 7, 18, 0.17
1, 1, 4, 7, 9, 0.17
1, 2, 3, 7, 23, 0.17
1, 2, 5, 7, 17, 0.17
1, 3, 6, 7, 28, 0.17
1, 4, 5, 7, 13, 0.17
1, 4, 7, 7, 10, 0.17
1, 5, 6, 7, 26, 0.17
1, 5, 8, 7, 13, 0.17
1, 6, 9, 7, 8, 0.17
1, 7, 8, 7, 13, 0.17
1, 8, 9, 7, 7, 0.17
1, 1, 2, 8, 4, 0.17
1, 1, 4, 8, 3, 0.17
1, 2, 3, 8, 18, 0.17
1, 2, 5, 8, 11, 0.17
1, 3, 6, 8, 12, 0.17
1, 4, 5, 8, 26, 0.17
1, 4, 7, 8, 18, 0.17
1, 5, 6, 8, 22, 0.17
1, 5, 8, 8, 12, 0.17
1, 6, 9, 8, 15, 0.17
1, 7, 8, 8, 9, 0.17
1, 8, 9, 8, 21, 0.17
1, 1, 2, 9, 8, 0.17
1, 1, 4, 9, 16, 0.17
1, 2, 3, 9, 13, 0.17
1, 2, 5, 9, 23, 0.17
1, 3, 6, 9, 14, 0.17
1, 4, 5, 9, 5, 0.17
1, 4, 7, 9, 18, 0.17
1, 5, 6, 9, 9, 0.17
1, 5, 8, 9, 9, 0.17
1, 6, 9, 9, 20, 0.17
1, 7, 8, 9, 8, 0.17
1, 8, 9, 9, 9, 0.17
1, 1, 2, 10, 15, 0.17
1, 1, 4, 10, 24, 0.17
1, 2, 3, 10, 9, 0.17
1, 2, 5, 10, 16, 0.17
1, 3, 6, 10, 17, 0.17
1, 4, 5, 10, 15, 0.17
1, 4, 7, 10, 20, 0.17
1, 5, 6, 10, 9, 0.17
1, 5, 8, 10, 9, 0.17
1, 6, 9, 10, 2, 0.17
1, 7, 8, 10, 28, 0.17
1, 8, 9, 10, 10, 0.17
1, 1, 2, 11, 25, 0.17
1, 1, 4, 11, 5, 0.17
1, 2, 3, 11, 4, 0.17
1, 2, 5, 11, 5, 0.17
1, 3, 6, 11, 25, 0.17
1, 4, 5, 11, 3, 0.17
1, 4, 7, 11, 5, 0.17
1, 5, 6, 11, 9, 0.17
1, 5, 8, 11, 27, 0.17
1, 6, 9, 11, 12, 0.17
1, 7, 8, 11, 2, 0.17
1, 8, 9, 11, 3, 0.17
1, 1, 2, 12, 19, 0.17
1, 1, 4, 12, 10, 0.17
1, 2, 3, 12, 3, 0.17
1, 2, 5, 12, 29, 0.17
1, 3, 6, 12, 23, 0.17
1, 4, 5, 12, 26, 0.17
1, 4, 7, 12, 2, 0.17
