k, i, j, t, w, pr
1, 1, 2, 0, 7, 0.50
1, 1, 5, 0, 1, 0.50
1, 2, 3, 0, 8, 0.50
1, 2, 6, 0, 4, 0.50
1, 3, 4, 0, 7, 0.50
1, 3, 7, 0, 4, 0.50
1, 4, 8, 0, 4, 0.50
1, 5, 6, 0, 2, 0.50
1, 5, 9, 0, 7, 0.50
1, 6, 7, 0, 5, 0.50
1, 6, 10, 0, 4, 0.50
1, 7, 8, 0, 9, 0.50
1, 7, 11, 0, 6, 0.50
1, 8, 12, 0, 6, 0.50
1, 9, 10, 0, 5, 0.50
1, 9, 13, 0, 6, 0.50
1, 10, 11, 0, 4, 0.50
1, 10, 14, 0, 4, 0.50
1, 11, 12, 0, 7, 0.50
1, 11, 15, 0, 7, 0.50
1, 12, 16, 0, 7, 0.50
1, 13, 14, 0, 5, 0.50
1, 14, 15, 0, 3, 0.50
1, 15, 16, 0, 4, 0.50
1, 1, 2, 1, 3, 0.50
1, 1, 5, 1, 3, 0.50
1, 2, 3, 1, 7, 0.50
1, 2, 6, 1, 2, 0.50
1, 3, 4, 1, 1, 0.50
1, 3, 7, 1, 6, 0.50
1, 4, 8, 1, 1, 0.50
1, 5, 6, 1, 4, 0.50
1, 5, 9, 1, 2, 0.50
1, 6, 7, 1, 9, 0.50
1, 6, 10, 1, 9, 0.50
1, 7, 8, 1, 4, 0.50
1, 7, 11, 1, 2, 0.50
1, 8, 12, 1, 9, 0.50
1, 9, 10, 1, 3, 0.50
1, 9, 13, 1, 7, 0.50
1, 10, 11, 1, 5, 0.50
1, 10, 14, 1, 2, 0.50
1, 11, 12, 1, 6, 0.50
1, 11, 15, 1, 2, 0.50
1, 12, 16, 1, 7, 0.50
1, 13, 14, 1, 4, 0.50
1, 14, 15, 1, 3, 0.50
1, 15, 16, 1, 3, 0.50
1, 1, 2, 2, 1, 0.50
1, 1, 5, 2, 5, 0.50
1, 2, 3, 2, 5, 0.50
1, 2, 6, 2, 8, 0.50
1, 3, 4, 2, 4, 0.50
1, 3, 7, 2, 5, 0.50
1, 4, 8, 2, 8, 0.50
1, 5, 6, 2, 5, 0.50
1, 5, 9, 2, 5, 0.50
1, 6, 7, 2, 2, 0.50
1, 6, 10, 2, 7, 0.50
1, 7, 8, 2, 4, 0.50
1, 7, 11, 2, 4, 0.50
1, 8, 12, 2, 7, 0.50
1, 9, 10, 2, 8, 0.50
1, 9, 13, 2, 5, 0.50
1, 10, 11, 2, 5, 0.50
1, 10, 14, 2, 6, 0.50
1, 11, 12, 2, 2, 0.50
1, 11, 15, 2, 6, 0.50
1, 12, 16, 2, 4, 0.50
1, 13, 14, 2, 5, 0.50
1, 14, 15, 2, 8, 0.50
1, 15, 16, 2, 3, 0.50
1, 1, 2, 3, 1, 0.50
1, 1, 5, 3, 5, 0.50
1, 2, 3, 3, 3, 0.50
1, 2, 6, 3, 5, 0.50
1, 3, 4, 3, 7, 0.50
1, 3, 7, 3, 2, 0.50
1, 4, 8, 3, 8, 0.50
1, 5, 6, 3, 9, 0.50
1, 5, 9, 3, 4, 0.50
1, 6, 7, 3, 7, 0.50
1, 6, 10, 3, 8, 0.50
1, 7, 8, 3, 9, 0.50
1, 7, 11, 3, 3, 0.50
1, 8, 12, 3, 6, 0.50
1, 9, 10, 3, 3, 0.50
1, 9, 13, 3, 6, 0.50
1, 10, 11, 3, 6, 0.50
1, 10, 14, 3, 3, 0.50
1, 11, 12, 3, 5, 0.50
1, 11, 15, 3, 9, 0.50
1, 12, 16, 3, 5, 0.50
1, 13, 14, 3, 6, 0.50
1, 14, 15, 3, 4, 0.50
1, 15, 16, 3, 9, 0.50
1, 1, 2, 4, 5, 0.50
1, 1, 5, 4, 8, 0.50
1, 2, 3, 4, 5, 0.50
1, 2, 6, 4, 3, 0.50
1, 3, 4, 4, 5, 0.50
1, 3, 7, 4, 7, 0.50
1, 4, 8, 4, 1, 0.50
1, 5, 6, 4, 3, 0.50
1, 5, 9, 4, 3, 0.50
1, 6, 7, 4, 6, 0.50
1, 6, 10, 4, 3, 0.50
1, 7, 8, 4, 4, 0.50
1, 7, 11, 4, 5, 0.50
1, 8, 12, 4, 8, 0.50
1, 9, 10, 4, 6, 0.50
1, 9, 13, 4, 3, 0.50
1, 10, 11, 4, 6, 0.50
1, 10, 14, 4, 4, 0.50
1, 11, 12, 4, 4, 0.50
1, 11, 15, 4, 5, 0.50
1, 12, 16, 4, 1, 0.50
1, 13, 14, 4, 2, 0.50
1, 14, 15, 4, 7, 0.50
1, 15, 16, 4, 7, 0.50
1, 1, 2, 5, 8, 0.50
1, 1, 5, 5, 7, 0.50
1, 2, 3, 5, 4, 0.50
1, 2, 6, 5, 5, 0.50
1, 3, 4, 5, 2, 0.50
1, 3, 7, 5, 2, 0.50
1, 4, 8, 5, 6, 0.50
1, 5, 6, 5, 7, 0.50
1, 5, 9, 5, 6, 0.50
1, 6, 7, 5, 5, 0.50
1, 6, 10, 5, 6, 0.50
1, 7, 8, 5, 5, 0.50
1, 7, 11, 5, 6, 0.50
1, 8, 12, 5, 4, 0.50
1, 9, 10, 5, 2, 0.50
1, 9, 13, 5, 4, 0.50
1, 10, 11, 5, 6, 0.50
1, 10, 14, 5, 9, 0.50
1, 11, 12, 5, 3, 0.50
1, 11, 15, 5, 6, 0.50
1, 12, 16, 5, 6, 0.50
1, 13, 14, 5, 3, 0.50
1, 14, 15, 5, 8, 0.50
1, 15, 16, 5, 7, 0.50
1, 1, 2, 6, 5, 0.50
1, 1, 5, 6, 8, 0.50
1, 2, 3, 6, 7, 0.50
1, 2, 6, 6, 7, 0.50
1, 3, 4, 6, 4, 0.50
1, 3, 7, 6, 3, 0.50
1, 4, 8, 6, 9, 0.50
1, 5, 6, 6, 5, 0.50
1, 5, 9, 6, 1, 0.50
1, 6, 7, 6, 5, 0.50
1, 6, 10, 6, 8, 0.50
1, 7, 8, 6, 7, 0.50
1, 7, 11, 6, 1, 0.50
1, 8, 12, 6, 8, 0.50
1, 9, 10, 6, 7, 0.50
1, 9, 13, 6, 5, 0.50
1, 10, 11, 6, 4, 0.50
1, 10, 14, 6, 8, 0.50
1, 11, 12, 6, 5, 0.50
1, 11, 15, 6, 3, 0.50
1, 12, 16, 6, 6, 0.50
1, 13, 14, 6, 5, 0.50
1, 14, 15, 6, 8, 0.50
1, 15, 16, 6, 4, 0.50
1, 1, 2, 7, 5, 0.50
1, 1, 5, 7, 5, 0.50
1, 2, 3, 7, 2, 0.50
1, 2, 6, 7, 2, 0.50
1, 3, 4, 7, 2, 0.50
1, 3, 7, 7, 7, 0.50
1, 4, 8, 7, 4, 0.50
1, 5, 6, 7, 7, 0.50
1, 5, 9, 7, 4, 0.50
1, 6, 7, 7, 7, 0.50
1, 6, 10, 7, 3, 0.50
1, 7, 8, 7, 6, 0.50
1, 7, 11, 7, 4, 0.50
1, 8, 12, 7, 7, 0.50
1, 9, 10, 7, 8, 0.50
1, 9, 13, 7, 4, 0.50
1, 10, 11, 7, 4, 0.50
1, 10, 14, 7, 4, 0.50
1, 11, 12, 7, 1, 0.50
1, 11, 15, 7, 6, 0.50
1, 12, 16, 7, 2, 0.50
1, 13, 14, 7, 8, 0.50
1, 14, 15, 7, 3, 0.50
1, 15, 16, 7, 1, 0.50
1, 1, 2, 8, 9, 0.50
1, 1, 5, 8, 8, 0.50
1, 2, 3, 8, 8, 0.50
1, 2, 6, 8, 8, 0.50
1, 3, 4, 8, 6, 0.50
1, 3, 7, 8, 8, 0.50
1, 4, 8, 8, 1, 0.50
1, 5, 6, 8, 5, 0.50
1, 5, 9, 8, 2, 0.50
1, 6, 7, 8, 7, 0.50
1, 6, 10, 8, 8, 0.50
1, 7, 8, 8, 6, 0.50
1, 7, 11, 8, 5, 0.50
1, 8, 12, 8, 1, 0.50
1, 9, 10, 8, 9, 0.50
1, 9, 13, 8, 6, 0.50
1, 10, 11, 8, 2, 0.50
1, 10, 14, 8, 1, 0.50
1, 11, 12, 8, 4, 0.50
1, 11, 15, 8, 6, 0.50
1, 12, 16, 8, 7, 0.50
1, 13, 14, 8, 3, 0.50
1, 14, 15, 8, 3, 0.50
1, 15, 16, 8, 1, 0.50
1, 1, 2, 9, 5, 0.50
1, 1, 5, 9, 5, 0.50
1, 2, 3, 9, 2, 0.50
1, 2, 6, 9, 2, 0.50
1, 3, 4, 9, 9, 0.50
1, 3, 7, 9, 6, 0.50
1, 4, 8, 9, 7, 0.50
1, 5, 6, 9, 5, 0.50
1, 5, 9, 9, 5, 0.50
1, 6, 7, 9, 6, 0.50
1, 6, 10, 9, 6, 0.50
1, 7, 8, 9, 6, 0.50
1, 7, 11, 9, 3, 0.50
1, 8, 12, 9, 7, 0.50
1, 9, 10, 9, 7, 0.50
1, 9, 13, 9, 4, 0.50
1, 10, 11, 9, 3, 0.50
1, 10, 14, 9, 5, 0.50
1, 11, 12, 9, 6, 0.50
1, 11, 15, 9, 6, 0.50
1, 12, 16, 9, 9, 0.50
1, 13, 14, 9, 1, 0.50
1, 14, 15, 9, 5, 0.50
1, 15, 16, 9, 7, 0.50
1, 1, 2, 10, 5, 0.50
1, 1, 5, 10, 7, 0.50
1, 2, 3, 10, 1, 0.50
1, 2, 6, 10, 9, 0.50
1, 3, 4, 10, 6, 0.50
1, 3, 7, 10, 4, 0.50
1, 4, 8, 10, 1, 0.50
1, 5, 6, 10, 4, 0.50
1, 5, 9, 10, 3, 0.50
1, 6, 7, 10, 7, 0.50
1, 6, 10, 10, 8, 0.50
1, 7, 8, 10, 5, 0.50
1, 7, 11, 10, 8, 0.50
1, 8, 12, 10, 7, 0.50
1, 9, 10, 10, 7, 0.50
1, 9, 13, 10, 2, 0.50
1, 10, 11, 10, 3, 0.50
1, 10, 14, 10, 8, 0.50
1, 11, 12, 10, 8, 0.50
1, 11, 15, 10, 7, 0.50
1, 12, 16, 10, 1, 0.50
1, 13, 14, 10, 3, 0.50
1, 14, 15, 10, 8, 0.50
1, 15, 16, 10, 2, 0.50
1, 1, 2, 11, 8, 0.50
1, 1, 5, 11, 6, 0.50
1, 2, 3, 11, 1, 0.50
1, 2, 6, 11, 6, 0.50
1, 3, 4, 11, 6, 0.50
1, 3, 7, 11, 1, 0.50
1, 4, 8, 11, 2, 0.50
1, 5, 6, 11, 5, 0.50
1, 5, 9, 11, 4, 0.50
1, 6, 7, 11, 7, 0.50
1, 6, 10, 11, 7, 0.50
