k, i, j, t, w, pr
1, 1, 2, 0, 8, 0.17
1, 1, 5, 0, 4, 0.17
1, 2, 3, 0, 2, 0.17
1, 2, 6, 0, 2, 0.17
1, 3, 4, 0, 3, 0.17
1, 3, 7, 0, 4, 0.17
1, 4, 8, 0, 3, 0.17
1, 5, 6, 0, 5, 0.17
1, 5, 9, 0, 3, 0.17
1, 6, 7, 0, 1, 0.17
1, 6, 10, 0, 2, 0.17
1, 7, 8, 0, 2, 0.17
1, 7, 11, 0, 2, 0.17
1, 8, 12, 0, 8, 0.17
1, 9, 10, 0, 2, 0.17
1, 9, 13, 0, 1, 0.17
1, 10, 11, 0, 1, 0.17
1, 10, 14, 0, 3, 0.17
1, 11, 12, 0, 4, 0.17
1, 11, 15, 0, 5, 0.17
1, 12, 16, 0, 6, 0.17
1, 13, 14, 0, 6, 0.17
1, 14, 15, 0, 6, 0.17
1, 15, 16, 0, 2, 0.17
1, 1, 2, 1, 5, 0.17
1, 1, 5, 1, 4, 0.17
1, 2, 3, 1, 5, 0.17
1, 2, 6, 1, 3, 0.17
1, 3, 4, 1, 3, 0.17
1, 3, 7, 1, 5, 0.17
1, 4, 8, 1, 5, 0.17
1, 5, 6, 1, 4, 0.17
1, 5, 9, 1, 7, 0.17
1, 6, 7, 1, 1, 0.17
1, 6, 10, 1, 6, 0.17
1, 7, 8, 1, 3, 0.17
1, 7, 11, 1, 4, 0.17
1, 8, 12, 1, 8, 0.17
1, 9, 10, 1, 6, 0.17
1, 9, 13, 1, 2, 0.17
1, 10, 11, 1, 5, 0.17
1, 10, 14, 1, 2, 0.17
1, 11, 12, 1, 2, 0.17
1, 11, 15, 1, 6, 0.17
1, 12, 16, 1, 8, 0.17
1, 13, 14, 1, 8, 0.17
1, 14, 15, 1, 6, 0.17
1, 15, 16, 1, 7, 0.17
1, 1, 2, 2, 6, 0.17
1, 1, 5, 2, 4, 0.17
1, 2, 3, 2, 4, 0.17
1, 2, 6, 2, 7, 0.17
1, 3, 4, 2, 8, 0.17
1, 3, 7, 2, 9, 0.17
1, 4, 8, 2, 7, 0.17
1, 5, 6, 2, 7, 0.17
1, 5, 9, 2, 5, 0.17
1, 6, 7, 2, 8, 0.17
1, 6, 10, 2, 5, 0.17
1, 7, 8, 2, 6, 0.17
1, 7, 11, 2, 4, 0.17
1, 8, 12, 2, 7, 0.17
1, 9, 10, 2, 4, 0.17
1, 9, 13, 2, 6, 0.17
1, 10, 11, 2, 2, 0.17
1, 10, 14, 2, 5, 0.17
1, 11, 12, 2, 6, 0.17
1, 11, 15, 2, 1, 0.17
1, 12, 16, 2, 7, 0.17
1, 13, 14, 2, 6, 0.17
1, 14, 15, 2, 4, 0.17
1, 15, 16, 2, 4, 0.17
1, 1, 2, 3, 8, 0.17
1, 1, 5, 3, 4, 0.17
1, 2, 3, 3, 3, 0.17
1, 2, 6, 3, 7, 0.17
1, 3, 4, 3, 7, 0.17
1, 3, 7, 3, 8, 0.17
1, 4, 8, 3, 6, 0.17
1, 5, 6, 3, 7, 0.17
1, 5, 9, 3, 2, 0.17
1, 6, 7, 3, 7, 0.17
1, 6, 10, 3, 4, 0.17
1, 7, 8, 3, 3, 0.17
1, 7, 11, 3, 7, 0.17
1, 8, 12, 3, 6, 0.17
1, 9, 10, 3, 5, 0.17
1, 9, 13, 3, 5, 0.17
1, 10, 11, 3, 9, 0.17
1, 10, 14, 3, 2, 0.17
1, 11, 12, 3, 2, 0.17
1, 11, 15, 3, 6, 0.17
1, 12, 16, 3, 8, 0.17
1, 13, 14, 3, 5, 0.17
1, 14, 15, 3, 4, 0.17
1, 15, 16, 3, 1, 0.17
1, 1, 2, 4, 7, 0.17
1, 1, 5, 4, 5, 0.17
1, 2, 3, 4, 4, 0.17
1, 2, 6, 4, 9, 0.17
1, 3, 4, 4, 5, 0.17
1, 3, 7, 4, 3, 0.17
1, 4, 8, 4, 2, 0.17
1, 5, 6, 4, 3, 0.17
