k, i, j, t, w, pr
1, 1, 2, 0, 2, 0.50
1, 1, 7, 0, 1, 0.50
1, 2, 3, 0, 2, 0.50
1, 2, 8, 0, 1, 0.50
1, 3, 4, 0, 4, 0.50
1, 3, 9, 0, 2, 0.50
1, 4, 5, 0, 1, 0.50
1, 4, 10, 0, 4, 0.50
1, 5, 6, 0, 3, 0.50
1, 5, 11, 0, 4, 0.50
1, 6, 12, 0, 3, 0.50
1, 7, 8, 0, 3, 0.50
1, 7, 13, 0, 5, 0.50
1, 8, 9, 0, 2, 0.50
1, 8, 14, 0, 2, 0.50
1, 9, 10, 0, 4, 0.50
1, 9, 15, 0, 1, 0.50
1, 10, 11, 0, 2, 0.50
1, 10, 16, 0, 5, 0.50
1, 11, 12, 0, 4, 0.50
1, 11, 17, 0, 2, 0.50
1, 12, 18, 0, 2, 0.50
1, 13, 14, 0, 4, 0.50
1, 13, 19, 0, 1, 0.50
1, 14, 15, 0, 4, 0.50
1, 14, 20, 0, 3, 0.50
1, 15, 16, 0, 2, 0.50
1, 15, 21, 0, 4, 0.50
1, 16, 17, 0, 4, 0.50
1, 16, 22, 0, 3, 0.50
1, 17, 18, 0, 2, 0.50
1, 17, 23, 0, 4, 0.50
1, 18, 24, 0, 3, 0.50
1, 19, 20, 0, 1, 0.50
1, 19, 25, 0, 2, 0.50
1, 20, 21, 0, 3, 0.50
1, 20, 26, 0, 5, 0.50
1, 21, 22, 0, 4, 0.50
1, 21, 27, 0, 4, 0.50
1, 22, 23, 0, 3, 0.50
1, 22, 28, 0, 5, 0.50
1, 23, 24, 0, 3, 0.50
1, 23, 29, 0, 4, 0.50
1, 24, 30, 0, 4, 0.50
1, 25, 26, 0, 2, 0.50
1, 25, 31, 0, 4, 0.50
1, 26, 27, 0, 3, 0.50
1, 26, 32, 0, 2, 0.50
1, 27, 28, 0, 5, 0.50
1, 27, 33, 0, 4, 0.50
1, 28, 29, 0, 2, 0.50
1, 28, 34, 0, 1, 0.50
1, 29, 30, 0, 1, 0.50
1, 29, 35, 0, 4, 0.50
1, 30, 36, 0, 4, 0.50
1, 31, 32, 0, 5, 0.50
1, 32, 33, 0, 5, 0.50
1, 33, 34, 0, 1, 0.50
1, 34, 35, 0, 4, 0.50
1, 35, 36, 0, 4, 0.50
1, 1, 2, 1, 3, 0.50
1, 1, 7, 1, 2, 0.50
1, 2, 3, 1, 3, 0.50
1, 2, 8, 1, 2, 0.50
1, 3, 4, 1, 1, 0.50
1, 3, 9, 1, 3, 0.50
1, 4, 5, 1, 2, 0.50
1, 4, 10, 1, 3, 0.50
1, 5, 6, 1, 3, 0.50
1, 5, 11, 1, 5, 0.50
1, 6, 12, 1, 3, 0.50
1, 7, 8, 1, 4, 0.50
1, 7, 13, 1, 1, 0.50
1, 8, 9, 1, 4, 0.50
1, 8, 14, 1, 3, 0.50
1, 9, 10, 1, 5, 0.50
1, 9, 15, 1, 3, 0.50
1, 10, 11, 1, 1, 0.50
1, 10, 16, 1, 2, 0.50
1, 11, 12, 1, 1, 0.50
1, 11, 17, 1, 3, 0.50
1, 12, 18, 1, 5, 0.50
1, 13, 14, 1, 3, 0.50
1, 13, 19, 1, 1, 0.50
1, 14, 15, 1, 3, 0.50
1, 14, 20, 1, 1, 0.50
1, 15, 16, 1, 2, 0.50
1, 15, 21, 1, 4, 0.50
1, 16, 17, 1, 1, 0.50
1, 16, 22, 1, 3, 0.50
1, 17, 18, 1, 2, 0.50
1, 17, 23, 1, 5, 0.50
1, 18, 24, 1, 2, 0.50
1, 19, 20, 1, 5, 0.50
1, 19, 25, 1, 5, 0.50
1, 20, 21, 1, 3, 0.50
1, 20, 26, 1, 3, 0.50
1, 21, 22, 1, 2, 0.50
1, 21, 27, 1, 2, 0.50
1, 22, 23, 1, 4, 0.50
1, 22, 28, 1, 2, 0.50
1, 23, 24, 1, 2, 0.50
1, 23, 29, 1, 2, 0.50
1, 24, 30, 1, 3, 0.50
1, 25, 26, 1, 2, 0.50
1, 25, 31, 1, 1, 0.50
1, 26, 27, 1, 2, 0.50
1, 26, 32, 1, 2, 0.50
1, 27, 28, 1, 3, 0.50
1, 27, 33, 1, 5, 0.50
1, 28, 29, 1, 3, 0.50
1, 28, 34, 1, 2, 0.50
1, 29, 30, 1, 2, 0.50
1, 29, 35, 1, 2, 0.50
1, 30, 36, 1, 5, 0.50
1, 31, 32, 1, 2, 0.50
1, 32, 33, 1, 2, 0.50
1, 33, 34, 1, 4, 0.50
1, 34, 35, 1, 2, 0.50
1, 35, 36, 1, 5, 0.50
1, 1, 2, 2, 2, 0.50
1, 1, 7, 2, 2, 0.50
1, 2, 3, 2, 5, 0.50
1, 2, 8, 2, 2, 0.50
1, 3, 4, 2, 1, 0.50
1, 3, 9, 2, 3, 0.50
1, 4, 5, 2, 2, 0.50
1, 4, 10, 2, 5, 0.50
1, 5, 6, 2, 2, 0.50
1, 5, 11, 2, 5, 0.50
1, 6, 12, 2, 5, 0.50
1, 7, 8, 2, 4, 0.50
1, 7, 13, 2, 2, 0.50
1, 8, 9, 2, 4, 0.50
1, 8, 14, 2, 2, 0.50
1, 9, 10, 2, 3, 0.50
1, 9, 15, 2, 3, 0.50
1, 10, 11, 2, 2, 0.50
1, 10, 16, 2, 3, 0.50
1, 11, 12, 2, 1, 0.50
1, 11, 17, 2, 3, 0.50
1, 12, 18, 2, 4, 0.50
1, 13, 14, 2, 1, 0.50
1, 13, 19, 2, 5, 0.50
1, 14, 15, 2, 3, 0.50
1, 14, 20, 2, 5, 0.50
1, 15, 16, 2, 4, 0.50
1, 15, 21, 2, 2, 0.50
1, 16, 17, 2, 4, 0.50
1, 16, 22, 2, 1, 0.50
1, 17, 18, 2, 5, 0.50
1, 17, 23, 2, 2, 0.50
1, 18, 24, 2, 5, 0.50
1, 19, 20, 2, 5, 0.50
1, 19, 25, 2, 2, 0.50
1, 20, 21, 2, 1, 0.50
1, 20, 26, 2, 2, 0.50
1, 21, 22, 2, 4, 0.50
1, 21, 27, 2, 5, 0.50
1, 22, 23, 2, 4, 0.50
1, 22, 28, 2, 5, 0.50
1, 23, 24, 2, 2, 0.50
1, 23, 29, 2, 5, 0.50
1, 24, 30, 2, 5, 0.50
1, 25, 26, 2, 3, 0.50
1, 25, 31, 2, 4, 0.50
1, 26, 27, 2, 4, 0.50
1, 26, 32, 2, 4, 0.50
1, 27, 28, 2, 5, 0.50
1, 27, 33, 2, 3, 0.50
1, 28, 29, 2, 2, 0.50
1, 28, 34, 2, 5, 0.50
1, 29, 30, 2, 4, 0.50
1, 29, 35, 2, 4, 0.50
1, 30, 36, 2, 2, 0.50
1, 31, 32, 2, 3, 0.50
1, 32, 33, 2, 4, 0.50
1, 33, 34, 2, 5, 0.50
1, 34, 35, 2, 1, 0.50
1, 35, 36, 2, 2, 0.50
1, 1, 2, 3, 4, 0.50
1, 1, 7, 3, 4, 0.50
1, 2, 3, 3, 2, 0.50
1, 2, 8, 3, 5, 0.50
1, 3, 4, 3, 3, 0.50
1, 3, 9, 3, 2, 0.50
1, 4, 5, 3, 2, 0.50
1, 4, 10, 3, 5, 0.50
1, 5, 6, 3, 5, 0.50
1, 5, 11, 3, 2, 0.50
1, 6, 12, 3, 4, 0.50
1, 7, 8, 3, 3, 0.50
1, 7, 13, 3, 3, 0.50
1, 8, 9, 3, 3, 0.50
1, 8, 14, 3, 3, 0.50
1, 9, 10, 3, 1, 0.50
1, 9, 15, 3, 3, 0.50
1, 10, 11, 3, 2, 0.50
1, 10, 16, 3, 3, 0.50
1, 11, 12, 3, 3, 0.50
1, 11, 17, 3, 3, 0.50
1, 12, 18, 3, 1, 0.50
1, 13, 14, 3, 2, 0.50
1, 13, 19, 3, 2, 0.50
1, 14, 15, 3, 4, 0.50
1, 14, 20, 3, 3, 0.50
1, 15, 16, 3, 5, 0.50
1, 15, 21, 3, 5, 0.50
1, 16, 17, 3, 1, 0.50
1, 16, 22, 3, 3, 0.50
1, 17, 18, 3, 3, 0.50
1, 17, 23, 3, 4, 0.50
1, 18, 24, 3, 3, 0.50
1, 19, 20, 3, 3, 0.50
1, 19, 25, 3, 3, 0.50
1, 20, 21, 3, 3, 0.50
1, 20, 26, 3, 4, 0.50
1, 21, 22, 3, 5, 0.50
1, 21, 27, 3, 4, 0.50
1, 22, 23, 3, 2, 0.50
1, 22, 28, 3, 3, 0.50
1, 23, 24, 3, 1, 0.50
1, 23, 29, 3, 5, 0.50
1, 24, 30, 3, 2, 0.50
1, 25, 26, 3, 2, 0.50
1, 25, 31, 3, 4, 0.50
1, 26, 27, 3, 2, 0.50
1, 26, 32, 3, 3, 0.50
1, 27, 28, 3, 3, 0.50
1, 27, 33, 3, 1, 0.50
1, 28, 29, 3, 3, 0.50
1, 28, 34, 3, 2, 0.50
1, 29, 30, 3, 3, 0.50
1, 29, 35, 3, 2, 0.50
1, 30, 36, 3, 5, 0.50
1, 31, 32, 3, 3, 0.50
1, 32, 33, 3, 2, 0.50
1, 33, 34, 3, 3, 0.50
1, 34, 35, 3, 4, 0.50
1, 35, 36, 3, 2, 0.50
1, 1, 2, 4, 2, 0.50
1, 1, 7, 4, 3, 0.50
1, 2, 3, 4, 5, 0.50
1, 2, 8, 4, 2, 0.50
1, 3, 4, 4, 4, 0.50
1, 3, 9, 4, 1, 0.50
1, 4, 5, 4, 5, 0.50
1, 4, 10, 4, 3, 0.50
1, 5, 6, 4, 4, 0.50
1, 5, 11, 4, 4, 0.50
1, 6, 12, 4, 2, 0.50
1, 7, 8, 4, 2, 0.50
1, 7, 13, 4, 3, 0.50
1, 8, 9, 4, 2, 0.50
1, 8, 14, 4, 1, 0.50
1, 9, 10, 4, 5, 0.50
1, 9, 15, 4, 4, 0.50
1, 10, 11, 4, 3, 0.50
1, 10, 16, 4, 2, 0.50
1, 11, 12, 4, 3, 0.50
1, 11, 17, 4, 2, 0.50
1, 12, 18, 4, 5, 0.50
1, 13, 14, 4, 5, 0.50
1, 13, 19, 4, 5, 0.50
1, 14, 15, 4, 4, 0.50
1, 14, 20, 4, 2, 0.50
1, 15, 16, 4, 3, 0.50
1, 15, 21, 4, 4, 0.50
1, 16, 17, 4, 5, 0.50
1, 16, 22, 4, 4, 0.50
1, 17, 18, 4, 2, 0.50
1, 17, 23, 4, 4, 0.50
1, 18, 24, 4, 3, 0.50
1, 19, 20, 4, 2, 0.50
1, 19, 25, 4, 2, 0.50
1, 20, 21, 4, 3, 0.50
1, 20, 26, 4, 4, 0.50
1, 21, 22, 4, 2, 0.50
1, 21, 27, 4, 3, 0.50
1, 22, 23, 4, 3, 0.50
1, 22, 28, 4, 2, 0.50
1, 23, 24, 4, 4, 0.50
1, 23, 29, 4, 1, 0.50
1, 24, 30, 4, 1, 0.50
1, 25, 26, 4, 3, 0.50
1, 25, 31, 4, 2, 0.50
1, 26, 27, 4, 2, 0.50
1, 26, 32, 4, 5, 0.50
