k, i, j, t, w, pr
1, 1, 2, 0, 26, 0.25
1, 1, 4, 0, 26, 0.25
1, 2, 3, 0, 28, 0.25
1, 2, 5, 0, 13, 0.25
1, 3, 6, 0, 26, 0.25
1, 4, 5, 0, 14, 0.25
1, 4, 7, 0, 24, 0.25
1, 5, 6, 0, 8, 0.25
1, 5, 8, 0, 35, 0.25
1, 6, 9, 0, 3, 0.25
1, 7, 8, 0, 8, 0.25
1, 8, 9, 0, 25, 0.25
1, 1, 2, 1, 33, 0.25
1, 1, 4, 1, 4, 0.25
1, 2, 3, 1, 22, 0.25
1, 2, 5, 1, 23, 0.25
1, 3, 6, 1, 40, 0.25
1, 4, 5, 1, 36, 0.25
1, 4, 7, 1, 42, 0.25
1, 5, 6, 1, 8, 0.25
1, 5, 8, 1, 36, 0.25
1, 6, 9, 1, 19, 0.25
1, 7, 8, 1, 34, 0.25
1, 8, 9, 1, 13, 0.25
1, 1, 2, 2, 43, 0.25
1, 1, 4, 2, 20, 0.25
1, 2, 3, 2, 26, 0.25
1, 2, 5, 2, 18, 0.25
1, 3, 6, 2, 37, 0.25
1, 4, 5, 2, 30, 0.25
1, 4, 7, 2, 10, 0.25
1, 5, 6, 2, 4, 0.25
1, 5, 8, 2, 34, 0.25
1, 6, 9, 2, 24, 0.25
1, 7, 8, 2, 8, 0.25
1, 8, 9, 2, 22, 0.25
1, 1, 2, 3, 5, 0.25
1, 1, 4, 3, 41, 0.25
1, 2, 3, 3, 23, 0.25
1, 2, 5, 3, 6, 0.25
1, 3, 6, 3, 17, 0.25
1, 4, 5, 3, 9, 0.25
1, 4, 7, 3, 14, 0.25
1, 5, 6, 3, 6, 0.25
1, 5, 8, 3, 18, 0.25
1, 6, 9, 3, 42, 0.25
1, 7, 8, 3, 22, 0.25
1, 8, 9, 3, 30, 0.25
1, 1, 2, 4, 8, 0.25
1, 1, 4, 4, 13, 0.25
1, 2, 3, 4, 16, 0.25
1, 2, 5, 4, 13, 0.25
1, 3, 6, 4, 22, 0.25
1, 4, 5, 4, 8, 0.25
1, 4, 7, 4, 34, 0.25
1, 5, 6, 4, 27, 0.25
1, 5, 8, 4, 41, 0.25
1, 6, 9, 4, 34, 0.25
1, 7, 8, 4, 24, 0.25
1, 8, 9, 4, 4, 0.25
1, 1, 2, 5, 18, 0.25
1, 1, 4, 5, 3, 0.25
1, 2, 3, 5, 37, 0.25
1, 2, 5, 5, 26, 0.25
1, 3, 6, 5, 9, 0.25
1, 4, 5, 5, 7, 0.25
1, 4, 7, 5, 22, 0.25
1, 5, 6, 5, 17, 0.25
1, 5, 8, 5, 35, 0.25
1, 6, 9, 5, 8, 0.25
1, 7, 8, 5, 39, 0.25
1, 8, 9, 5, 5, 0.25
1, 1, 2, 6, 18, 0.25
1, 1, 4, 6, 35, 0.25
1, 2, 3, 6, 12, 0.25
1, 2, 5, 6, 29, 0.25
1, 3, 6, 6, 15, 0.25
1, 4, 5, 6, 24, 0.25
1, 4, 7, 6, 33, 0.25
1, 5, 6, 6, 18, 0.25
1, 5, 8, 6, 9, 0.25
1, 6, 9, 6, 18, 0.25
1, 7, 8, 6, 18, 0.25
1, 8, 9, 6, 33, 0.25
1, 1, 2, 7, 41, 0.25
1, 1, 4, 7, 42, 0.25
1, 2, 3, 7, 3, 0.25
1, 2, 5, 7, 23, 0.25
1, 3, 6, 7, 34, 0.25
1, 4, 5, 7, 32, 0.25
1, 4, 7, 7, 1, 0.25
1, 5, 6, 7, 18, 0.25
1, 5, 8, 7, 15, 0.25
1, 6, 9, 7, 29, 0.25
1, 7, 8, 7, 39, 0.25
1, 8, 9, 7, 26, 0.25
1, 1, 2, 8, 21, 0.25
1, 1, 4, 8, 33, 0.25
1, 2, 3, 8, 16, 0.25
1, 2, 5, 8, 21, 0.25
1, 3, 6, 8, 5, 0.25
1, 4, 5, 8, 42, 0.25
1, 4, 7, 8, 19, 0.25
1, 5, 6, 8, 44, 0.25
1, 5, 8, 8, 10, 0.25
1, 6, 9, 8, 40, 0.25
1, 7, 8, 8, 22, 0.25
1, 8, 9, 8, 32, 0.25
1, 1, 2, 9, 28, 0.25
1, 1, 4, 9, 16, 0.25
1, 2, 3, 9, 27, 0.25
1, 2, 5, 9, 2, 0.25
1, 3, 6, 9, 24, 0.25
1, 4, 5, 9, 14, 0.25
1, 4, 7, 9, 5, 0.25
1, 5, 6, 9, 31, 0.25
1, 5, 8, 9, 32, 0.25
1, 6, 9, 9, 11, 0.25
1, 7, 8, 9, 30, 0.25
1, 8, 9, 9, 2, 0.25
1, 1, 2, 10, 6, 0.25
1, 1, 4, 10, 26, 0.25
1, 2, 3, 10, 19, 0.25
1, 2, 5, 10, 27, 0.25
1, 3, 6, 10, 39, 0.25
1, 4, 5, 10, 26, 0.25
1, 4, 7, 10, 12, 0.25
1, 5, 6, 10, 40, 0.25
1, 5, 8, 10, 6, 0.25
1, 6, 9, 10, 23, 0.25
1, 7, 8, 10, 8, 0.25
1, 8, 9, 10, 32, 0.25
1, 1, 2, 11, 11, 0.25
1, 1, 4, 11, 43, 0.25
1, 2, 3, 11, 15, 0.25
1, 2, 5, 11, 23, 0.25
1, 3, 6, 11, 36, 0.25
1, 4, 5, 11, 4, 0.25
1, 4, 7, 11, 34, 0.25
1, 5, 6, 11, 31, 0.25
1, 5, 8, 11, 35, 0.25
1, 6, 9, 11, 30, 0.25
1, 7, 8, 11, 2, 0.25
1, 8, 9, 11, 36, 0.25
1, 1, 2, 12, 26, 0.25
1, 1, 4, 12, 43, 0.25
1, 2, 3, 12, 25, 0.25
1, 2, 5, 12, 28, 0.25
1, 3, 6, 12, 42, 0.25
1, 4, 5, 12, 23, 0.25
1, 4, 7, 12, 38, 0.25
1, 5, 6, 12, 23, 0.25
1, 5, 8, 12, 34, 0.25
1, 6, 9, 12, 32, 0.25
1, 7, 8, 12, 23, 0.25
1, 8, 9, 12, 1, 0.25
1, 1, 2, 13, 11, 0.25
1, 1, 4, 13, 3, 0.25
1, 2, 3, 13, 27, 0.25
1, 2, 5, 13, 33, 0.25
1, 3, 6, 13, 33, 0.25
1, 4, 5, 13, 3, 0.25
1, 4, 7, 13, 12, 0.25
1, 5, 6, 13, 42, 0.25
1, 5, 8, 13, 14, 0.25
1, 6, 9, 13, 43, 0.25
1, 7, 8, 13, 14, 0.25
1, 8, 9, 13, 26, 0.25
1, 1, 2, 14, 17, 0.25
1, 1, 4, 14, 4, 0.25
1, 2, 3, 14, 12, 0.25
1, 2, 5, 14, 14, 0.25
1, 3, 6, 14, 5, 0.25
1, 4, 5, 14, 13, 0.25
1, 4, 7, 14, 8, 0.25
1, 5, 6, 14, 38, 0.25
1, 5, 8, 14, 14, 0.25
1, 6, 9, 14, 11, 0.25
1, 7, 8, 14, 23, 0.25
1, 8, 9, 14, 20, 0.25
1, 1, 2, 15, 36, 0.25
1, 1, 4, 15, 43, 0.25
1, 2, 3, 15, 33, 0.25
1, 2, 5, 15, 14, 0.25
1, 3, 6, 15, 28, 0.25
1, 4, 5, 15, 34, 0.25
1, 4, 7, 15, 19, 0.25
1, 5, 6, 15, 25, 0.25
1, 5, 8, 15, 5, 0.25
1, 6, 9, 15, 10, 0.25
1, 7, 8, 15, 27, 0.25
1, 8, 9, 15, 28, 0.25
1, 1, 2, 16, 11, 0.25
1, 1, 4, 16, 3, 0.25
1, 2, 3, 16, 17, 0.25
1, 2, 5, 16, 2, 0.25
1, 3, 6, 16, 35, 0.25
1, 4, 5, 16, 36, 0.25
1, 4, 7, 16, 5, 0.25
1, 5, 6, 16, 1, 0.25
1, 5, 8, 16, 4, 0.25
1, 6, 9, 16, 33, 0.25
1, 7, 8, 16, 38, 0.25
1, 8, 9, 16, 19, 0.25
1, 1, 2, 17, 39, 0.25
1, 1, 4, 17, 13, 0.25
1, 2, 3, 17, 35, 0.25
1, 2, 5, 17, 8, 0.25
1, 3, 6, 17, 36, 0.25
1, 4, 5, 17, 3, 0.25
1, 4, 7, 17, 3, 0.25
1, 5, 6, 17, 5, 0.25
1, 5, 8, 17, 44, 0.25
1, 6, 9, 17, 39, 0.25
1, 7, 8, 17, 26, 0.25
1, 8, 9, 17, 32, 0.25
1, 1, 2, 18, 16, 0.25
1, 1, 4, 18, 2, 0.25
1, 2, 3, 18, 26, 0.25
1, 2, 5, 18, 11, 0.25
1, 3, 6, 18, 20, 0.25
1, 4, 5, 18, 42, 0.25
1, 4, 7, 18, 33, 0.25
1, 5, 6, 18, 12, 0.25
1, 5, 8, 18, 7, 0.25
1, 6, 9, 18, 16, 0.25
1, 7, 8, 18, 22, 0.25
1, 8, 9, 18, 21, 0.25
1, 1, 2, 19, 37, 0.25
1, 1, 4, 19, 19, 0.25
1, 2, 3, 19, 1, 0.25
1, 2, 5, 19, 31, 0.25
1, 3, 6, 19, 35, 0.25
1, 4, 5, 19, 24, 0.25
1, 4, 7, 19, 39, 0.25
1, 5, 6, 19, 41, 0.25
1, 5, 8, 19, 20, 0.25
1, 6, 9, 19, 33, 0.25
1, 7, 8, 19, 40, 0.25
1, 8, 9, 19, 39, 0.25
1, 1, 2, 20, 32, 0.25
1, 1, 4, 20, 15, 0.25
1, 2, 3, 20, 35, 0.25
1, 2, 5, 20, 9, 0.25
1, 3, 6, 20, 3, 0.25
1, 4, 5, 20, 18, 0.25
1, 4, 7, 20, 14, 0.25
1, 5, 6, 20, 17, 0.25
1, 5, 8, 20, 13, 0.25
1, 6, 9, 20, 25, 0.25
1, 7, 8, 20, 6, 0.25
1, 8, 9, 20, 23, 0.25
1, 1, 2, 21, 2, 0.25
1, 1, 4, 21, 24, 0.25
