k, i, j, t, w, pr
1, 1, 2, 0, 11, 0.17
1, 1, 5, 0, 10, 0.17
1, 2, 3, 0, 28, 0.17
1, 2, 6, 0, 9, 0.17
1, 3, 4, 0, 10, 0.17
1, 3, 7, 0, 6, 0.17
1, 4, 8, 0, 14, 0.17
1, 5, 6, 0, 18, 0.17
1, 5, 9, 0, 21, 0.17
1, 6, 7, 0, 26, 0.17
1, 6, 10, 0, 17, 0.17
1, 7, 8, 0, 12, 0.17
1, 7, 11, 0, 17, 0.17
1, 8, 12, 0, 3, 0.17
1, 9, 10, 0, 10, 0.17
1, 9, 13, 0, 27, 0.17
1, 10, 11, 0, 11, 0.17
1, 10, 14, 0, 9, 0.17
1, 11, 12, 0, 12, 0.17
1, 11, 15, 0, 3, 0.17
1, 12, 16, 0, 2, 0.17
1, 13, 14, 0, 15, 0.17
1, 14, 15, 0, 9, 0.17
1, 15, 16, 0, 8, 0.17
1, 1, 2, 1, 4, 0.17
1, 1, 5, 1, 27, 0.17
1, 2, 3, 1, 2, 0.17
1, 2, 6, 1, 18, 0.17
1, 3, 4, 1, 23, 0.17
1, 3, 7, 1, 17, 0.17
1, 4, 8, 1, 15, 0.17
1, 5, 6, 1, 24, 0.17
1, 5, 9, 1, 9, 0.17
1, 6, 7, 1, 12, 0.17
1, 6, 10, 1, 28, 0.17
1, 7, 8, 1, 13, 0.17
1, 7, 11, 1, 23, 0.17
1, 8, 12, 1, 21, 0.17
1, 9, 10, 1, 27, 0.17
1, 9, 13, 1, 10, 0.17
1, 10, 11, 1, 27, 0.17
1, 10, 14, 1, 23, 0.17
1, 11, 12, 1, 4, 0.17
1, 11, 15, 1, 12, 0.17
1, 12, 16, 1, 2, 0.17
1, 13, 14, 1, 25, 0.17
1, 14, 15, 1, 14, 0.17
1, 15, 16, 1, 4, 0.17
1, 1, 2, 2, 27, 0.17
1, 1, 5, 2, 16, 0.17
1, 2, 3, 2, 2, 0.17
1, 2, 6, 2, 10, 0.17
1, 3, 4, 2, 29, 0.17
1, 3, 7, 2, 1, 0.17
