k, i, j, t, w, pr
1, 1, 2, 0, 2, 0.50
1, 1, 5, 0, 3, 0.50
1, 2, 3, 0, 9, 0.50
1, 2, 6, 0, 5, 0.50
1, 3, 4, 0, 6, 0.50
1, 3, 7, 0, 3, 0.50
1, 4, 8, 0, 7, 0.50
1, 5, 6, 0, 7, 0.50
1, 5, 9, 0, 9, 0.50
1, 6, 7, 0, 1, 0.50
1, 6, 10, 0, 6, 0.50
1, 7, 8, 0, 9, 0.50
1, 7, 11, 0, 6, 0.50
1, 8, 12, 0, 6, 0.50
1, 9, 10, 0, 5, 0.50
1, 9, 13, 0, 9, 0.50
1, 10, 11, 0, 4, 0.50
1, 10, 14, 0, 6, 0.50
1, 11, 12, 0, 6, 0.50
1, 11, 15, 0, 4, 0.50
1, 12, 16, 0, 2, 0.50
1, 13, 14, 0, 1, 0.50
1, 14, 15, 0, 4, 0.50
1, 15, 16, 0, 7, 0.50
1, 1, 2, 1, 6, 0.50
1, 1, 5, 1, 3, 0.50
1, 2, 3, 1, 6, 0.50
1, 2, 6, 1, 4, 0.50
1, 3, 4, 1, 1, 0.50
1, 3, 7, 1, 7, 0.50
1, 4, 8, 1, 3, 0.50
1, 5, 6, 1, 1, 0.50
1, 5, 9, 1, 6, 0.50
1, 6, 7, 1, 1, 0.50
1, 6, 10, 1, 4, 0.50
1, 7, 8, 1, 2, 0.50
1, 7, 11, 1, 4, 0.50
1, 8, 12, 1, 2, 0.50
1, 9, 10, 1, 8, 0.50
1, 9, 13, 1, 8, 0.50
1, 10, 11, 1, 6, 0.50
1, 10, 14, 1, 5, 0.50
1, 11, 12, 1, 6, 0.50
1, 11, 15, 1, 8, 0.50
1, 12, 16, 1, 7, 0.50
1, 13, 14, 1, 7, 0.50
1, 14, 15, 1, 6, 0.50
1, 15, 16, 1, 8, 0.50
1, 1, 2, 2, 7, 0.50
1, 1, 5, 2, 6, 0.50
1, 2, 3, 2, 3, 0.50
1, 2, 6, 2, 1, 0.50
1, 3, 4, 2, 5, 0.50
1, 3, 7, 2, 5, 0.50
1, 4, 8, 2, 3, 0.50
1, 5, 6, 2, 8, 0.50
1, 5, 9, 2, 6, 0.50
1, 6, 7, 2, 6, 0.50
