k, i, j, t, w, pr
1, 1, 2, 0, 13, 0.17
1, 1, 7, 0, 13, 0.17
1, 2, 3, 0, 7, 0.17
1, 2, 8, 0, 5, 0.17
1, 3, 4, 0, 11, 0.17
1, 3, 9, 0, 16, 0.17
1, 4, 5, 0, 9, 0.17
1, 4, 10, 0, 14, 0.17
1, 5, 6, 0, 7, 0.17
1, 5, 11, 0, 7, 0.17
1, 6, 12, 0, 11, 0.17
1, 7, 8, 0, 14, 0.17
1, 7, 13, 0, 1, 0.17
1, 8, 9, 0, 11, 0.17
1, 8, 14, 0, 6, 0.17
1, 9, 10, 0, 17, 0.17
1, 9, 15, 0, 17, 0.17
1, 10, 11, 0, 7, 0.17
1, 10, 16, 0, 15, 0.17
1, 11, 12, 0, 6, 0.17
1, 11, 17, 0, 14, 0.17
1, 12, 18, 0, 8, 0.17
1, 13, 14, 0, 4, 0.17
1, 13, 19, 0, 7, 0.17
1, 14, 15, 0, 13, 0.17
1, 14, 20, 0, 14, 0.17
1, 15, 16, 0, 9, 0.17
1, 15, 21, 0, 7, 0.17
1, 16, 17, 0, 17, 0.17
1, 16, 22, 0, 12, 0.17
1, 17, 18, 0, 7, 0.17
1, 17, 23, 0, 2, 0.17
1, 18, 24, 0, 13, 0.17
1, 19, 20, 0, 4, 0.17
1, 19, 25, 0, 8, 0.17
1, 20, 21, 0, 11, 0.17
1, 20, 26, 0, 16, 0.17
1, 21, 22, 0, 10, 0.17
1, 21, 27, 0, 5, 0.17
1, 22, 23, 0, 9, 0.17
1, 22, 28, 0, 16, 0.17
1, 23, 24, 0, 14, 0.17
1, 23, 29, 0, 8, 0.17
1, 24, 30, 0, 13, 0.17
1, 25, 26, 0, 13, 0.17
1, 25, 31, 0, 9, 0.17
1, 26, 27, 0, 2, 0.17
1, 26, 32, 0, 16, 0.17
1, 27, 28, 0, 3, 0.17
1, 27, 33, 0, 11, 0.17
1, 28, 29, 0, 2, 0.17
1, 28, 34, 0, 16, 0.17
1, 29, 30, 0, 6, 0.17
1, 29, 35, 0, 7, 0.17
1, 30, 36, 0, 10, 0.17
1, 31, 32, 0, 12, 0.17
1, 32, 33, 0, 12, 0.17
1, 33, 34, 0, 12, 0.17
1, 34, 35, 0, 7, 0.17
1, 35, 36, 0, 17, 0.17
1, 1, 2, 1, 7, 0.17
1, 1, 7, 1, 2, 0.17
1, 2, 3, 1, 8, 0.17
1, 2, 8, 1, 6, 0.17
1, 3, 4, 1, 9, 0.17
1, 3, 9, 1, 12, 0.17
1, 4, 5, 1, 3, 0.17
1, 4, 10, 1, 4, 0.17
1, 5, 6, 1, 3, 0.17
1, 5, 11, 1, 7, 0.17
1, 6, 12, 1, 4, 0.17
1, 7, 8, 1, 7, 0.17
1, 7, 13, 1, 5, 0.17
1, 8, 9, 1, 17, 0.17
1, 8, 14, 1, 6, 0.17
1, 9, 10, 1, 14, 0.17
1, 9, 15, 1, 6, 0.17
1, 10, 11, 1, 5, 0.17
1, 10, 16, 1, 13, 0.17
1, 11, 12, 1, 4, 0.17
1, 11, 17, 1, 7, 0.17
1, 12, 18, 1, 16, 0.17
1, 13, 14, 1, 11, 0.17
1, 13, 19, 1, 14, 0.17
1, 14, 15, 1, 11, 0.17
1, 14, 20, 1, 2, 0.17
1, 15, 16, 1, 4, 0.17
1, 15, 21, 1, 12, 0.17
1, 16, 17, 1, 1, 0.17
1, 16, 22, 1, 3, 0.17
1, 17, 18, 1, 12, 0.17
1, 17, 23, 1, 3, 0.17
1, 18, 24, 1, 13, 0.17
1, 19, 20, 1, 5, 0.17
1, 19, 25, 1, 12, 0.17
1, 20, 21, 1, 5, 0.17
1, 20, 26, 1, 8, 0.17
1, 21, 22, 1, 11, 0.17
1, 21, 27, 1, 12, 0.17
1, 22, 23, 1, 5, 0.17
1, 22, 28, 1, 2, 0.17
1, 23, 24, 1, 13, 0.17
1, 23, 29, 1, 5, 0.17
1, 24, 30, 1, 7, 0.17
1, 25, 26, 1, 4, 0.17
1, 25, 31, 1, 16, 0.17
1, 26, 27, 1, 8, 0.17
1, 26, 32, 1, 15, 0.17
1, 27, 28, 1, 6, 0.17
1, 27, 33, 1, 9, 0.17
1, 28, 29, 1, 10, 0.17
1, 28, 34, 1, 7, 0.17
1, 29, 30, 1, 9, 0.17
1, 29, 35, 1, 7, 0.17
1, 30, 36, 1, 16, 0.17
1, 31, 32, 1, 8, 0.17
1, 32, 33, 1, 2, 0.17
1, 33, 34, 1, 9, 0.17
1, 34, 35, 1, 1, 0.17
1, 35, 36, 1, 14, 0.17
1, 1, 2, 2, 3, 0.17
1, 1, 7, 2, 3, 0.17
1, 2, 3, 2, 2, 0.17
1, 2, 8, 2, 16, 0.17
1, 3, 4, 2, 8, 0.17
1, 3, 9, 2, 3, 0.17
1, 4, 5, 2, 5, 0.17
1, 4, 10, 2, 9, 0.17
