k, i, j, t, w, pr
1, 1, 2, 0, 14, 0.17
1, 1, 8, 0, 9, 0.17
1, 2, 3, 0, 6, 0.17
1, 2, 9, 0, 13, 0.17
1, 3, 4, 0, 9, 0.17
1, 3, 10, 0, 10, 0.17
1, 4, 5, 0, 10, 0.17
1, 4, 11, 0, 5, 0.17
1, 5, 6, 0, 3, 0.17
1, 5, 12, 0, 2, 0.17
1, 6, 7, 0, 9, 0.17
1, 6, 13, 0, 9, 0.17
1, 7, 14, 0, 9, 0.17
1, 8, 9, 0, 9, 0.17
1, 8, 15, 0, 6, 0.17
1, 9, 10, 0, 5, 0.17
1, 9, 16, 0, 10, 0.17
1, 10, 11, 0, 3, 0.17
1, 10, 17, 0, 1, 0.17
1, 11, 12, 0, 3, 0.17
1, 11, 18, 0, 8, 0.17
1, 12, 13, 0, 2, 0.17
1, 12, 19, 0, 8, 0.17
1, 13, 14, 0, 14, 0.17
1, 13, 20, 0, 8, 0.17
1, 14, 21, 0, 7, 0.17
1, 15, 16, 0, 12, 0.17
1, 15, 22, 0, 13, 0.17
1, 16, 17, 0, 12, 0.17
1, 16, 23, 0, 6, 0.17
1, 17, 18, 0, 13, 0.17
1, 17, 24, 0, 7, 0.17
1, 18, 19, 0, 9, 0.17
1, 18, 25, 0, 12, 0.17
1, 19, 20, 0, 11, 0.17
1, 19, 26, 0, 12, 0.17
1, 20, 21, 0, 14, 0.17
1, 20, 27, 0, 12, 0.17
1, 21, 28, 0, 11, 0.17
1, 22, 23, 0, 4, 0.17
1, 22, 29, 0, 13, 0.17
1, 23, 24, 0, 3, 0.17
1, 23, 30, 0, 3, 0.17
1, 24, 25, 0, 12, 0.17
1, 24, 31, 0, 9, 0.17
1, 25, 26, 0, 11, 0.17
1, 25, 32, 0, 2, 0.17
1, 26, 27, 0, 12, 0.17
1, 26, 33, 0, 13, 0.17
1, 27, 28, 0, 3, 0.17
1, 27, 34, 0, 9, 0.17
1, 28, 35, 0, 4, 0.17
1, 29, 30, 0, 4, 0.17
1, 29, 36, 0, 7, 0.17
1, 30, 31, 0, 9, 0.17
1, 30, 37, 0, 5, 0.17
1, 31, 32, 0, 6, 0.17
1, 31, 38, 0, 9, 0.17
1, 32, 33, 0, 7, 0.17
1, 32, 39, 0, 10, 0.17
1, 33, 34, 0, 2, 0.17
1, 33, 40, 0, 7, 0.17
1, 34, 35, 0, 5, 0.17
1, 34, 41, 0, 2, 0.17
1, 35, 42, 0, 3, 0.17
1, 36, 37, 0, 1, 0.17
1, 36, 43, 0, 2, 0.17
1, 37, 38, 0, 10, 0.17
1, 37, 44, 0, 12, 0.17
1, 38, 39, 0, 3, 0.17
1, 38, 45, 0, 9, 0.17
1, 39, 40, 0, 2, 0.17
1, 39, 46, 0, 5, 0.17
1, 40, 41, 0, 14, 0.17
1, 40, 47, 0, 11, 0.17
1, 41, 42, 0, 8, 0.17
1, 41, 48, 0, 6, 0.17
1, 42, 49, 0, 9, 0.17
1, 43, 44, 0, 11, 0.17
1, 44, 45, 0, 3, 0.17
1, 45, 46, 0, 9, 0.17
1, 46, 47, 0, 4, 0.17
