k, i, j, t, w, pr
1, 1, 2, 0, 20, 0.25
1, 1, 4, 0, 18, 0.25
1, 2, 3, 0, 23, 0.25
1, 2, 5, 0, 11, 0.25
1, 3, 6, 0, 16, 0.25
1, 4, 5, 0, 16, 0.25
1, 4, 7, 0, 9, 0.25
1, 5, 6, 0, 28, 0.25
1, 5, 8, 0, 14, 0.25
1, 6, 9, 0, 16, 0.25
1, 7, 8, 0, 22, 0.25
1, 8, 9, 0, 13, 0.25
1, 1, 2, 1, 18, 0.25
1, 1, 4, 1, 22, 0.25
1, 2, 3, 1, 22, 0.25
1, 2, 5, 1, 23, 0.25
1, 3, 6, 1, 8, 0.25
1, 4, 5, 1, 24, 0.25
1, 4, 7, 1, 27, 0.25
1, 5, 6, 1, 11, 0.25
1, 5, 8, 1, 26, 0.25
1, 6, 9, 1, 16, 0.25
1, 7, 8, 1, 19, 0.25
1, 8, 9, 1, 16, 0.25
1, 1, 2, 2, 28, 0.25
1, 1, 4, 2, 25, 0.25
1, 2, 3, 2, 28, 0.25
1, 2, 5, 2, 25, 0.25
1, 3, 6, 2, 3, 0.25
1, 4, 5, 2, 14, 0.25
1, 4, 7, 2, 21, 0.25
1, 5, 6, 2, 18, 0.25
1, 5, 8, 2, 5, 0.25
1, 6, 9, 2, 21, 0.25
1, 7, 8, 2, 27, 0.25
1, 8, 9, 2, 13, 0.25
1, 1, 2, 3, 19, 0.25
1, 1, 4, 3, 26, 0.25
1, 2, 3, 3, 10, 0.25
1, 2, 5, 3, 19, 0.25
1, 3, 6, 3, 27, 0.25
1, 4, 5, 3, 28, 0.25
1, 4, 7, 3, 17, 0.25
1, 5, 6, 3, 19, 0.25
1, 5, 8, 3, 20, 0.25
1, 6, 9, 3, 16, 0.25
1, 7, 8, 3, 23, 0.25
1, 8, 9, 3, 19, 0.25
1, 1, 2, 4, 18, 0.25
1, 1, 4, 4, 4, 0.25
1, 2, 3, 4, 17, 0.25
1, 2, 5, 4, 10, 0.25
1, 3, 6, 4, 7, 0.25
1, 4, 5, 4, 15, 0.25
1, 4, 7, 4, 26, 0.25
1, 5, 6, 4, 6, 0.25
1, 5, 8, 4, 6, 0.25
1, 6, 9, 4, 12, 0.25
