k, i, j, t, w, pr
1, 1, 2, 0, 12, 0.25
1, 1, 4, 0, 3, 0.25
1, 2, 3, 0, 44, 0.25
1, 2, 5, 0, 42, 0.25
1, 3, 6, 0, 30, 0.25
1, 4, 5, 0, 12, 0.25
1, 4, 7, 0, 17, 0.25
1, 5, 6, 0, 34, 0.25
1, 5, 8, 0, 33, 0.25
1, 6, 9, 0, 19, 0.25
1, 7, 8, 0, 35, 0.25
1, 8, 9, 0, 9, 0.25
1, 1, 2, 1, 29, 0.25
1, 1, 4, 1, 32, 0.25
1, 2, 3, 1, 44, 0.25
1, 2, 5, 1, 31, 0.25
1, 3, 6, 1, 42, 0.25
1, 4, 5, 1, 28, 0.25
1, 4, 7, 1, 23, 0.25
1, 5, 6, 1, 39, 0.25
1, 5, 8, 1, 34, 0.25
1, 6, 9, 1, 5, 0.25
1, 7, 8, 1, 28, 0.25
1, 8, 9, 1, 41, 0.25
1, 1, 2, 2, 15, 0.25
1, 1, 4, 2, 7, 0.25
1, 2, 3, 2, 14, 0.25
1, 2, 5, 2, 23, 0.25
1, 3, 6, 2, 18, 0.25
1, 4, 5, 2, 30, 0.25
1, 4, 7, 2, 32, 0.25
1, 5, 6, 2, 10, 0.25
1, 5, 8, 2, 40, 0.25
1, 6, 9, 2, 27, 0.25
1, 7, 8, 2, 35, 0.25
1, 8, 9, 2, 27, 0.25
1, 1, 2, 3, 9, 0.25
1, 1, 4, 3, 21, 0.25
1, 2, 3, 3, 25, 0.25
1, 2, 5, 3, 31, 0.25
1, 3, 6, 3, 44, 0.25
1, 4, 5, 3, 27, 0.25
1, 4, 7, 3, 23, 0.25
1, 5, 6, 3, 9, 0.25
1, 5, 8, 3, 17, 0.25
1, 6, 9, 3, 10, 0.25
1, 7, 8, 3, 25, 0.25
1, 8, 9, 3, 25, 0.25
1, 1, 2, 4, 33, 0.25
1, 1, 4, 4, 23, 0.25
1, 2, 3, 4, 11, 0.25
1, 2, 5, 4, 22, 0.25
1, 3, 6, 4, 44, 0.25
1, 4, 5, 4, 38, 0.25
1, 4, 7, 4, 40, 0.25
1, 5, 6, 4, 7, 0.25
1, 5, 8, 4, 26, 0.25
1, 6, 9, 4, 37, 0.25
1, 7, 8, 4, 19, 0.25
1, 8, 9, 4, 18, 0.25
1, 1, 2, 5, 33, 0.25
1, 1, 4, 5, 8, 0.25
1, 2, 3, 5, 5, 0.25
1, 2, 5, 5, 22, 0.25
1, 3, 6, 5, 7, 0.25
1, 4, 5, 5, 42, 0.25
1, 4, 7, 5, 31, 0.25
1, 5, 6, 5, 13, 0.25
1, 5, 8, 5, 15, 0.25
1, 6, 9, 5, 38, 0.25
1, 7, 8, 5, 38, 0.25
1, 8, 9, 5, 44, 0.25
1, 1, 2, 6, 35, 0.25
1, 1, 4, 6, 42, 0.25
1, 2, 3, 6, 24, 0.25
1, 2, 5, 6, 1, 0.25
1, 3, 6, 6, 1, 0.25
1, 4, 5, 6, 9, 0.25
1, 4, 7, 6, 30, 0.25
1, 5, 6, 6, 24, 0.25
1, 5, 8, 6, 31, 0.25
1, 6, 9, 6, 16, 0.25
1, 7, 8, 6, 22, 0.25
1, 8, 9, 6, 19, 0.25
1, 1, 2, 7, 10, 0.25
1, 1, 4, 7, 35, 0.25
1, 2, 3, 7, 28, 0.25
1, 2, 5, 7, 29, 0.25
1, 3, 6, 7, 1, 0.25
1, 4, 5, 7, 26, 0.25
1, 4, 7, 7, 23, 0.25
1, 5, 6, 7, 11, 0.25
1, 5, 8, 7, 8, 0.25
1, 6, 9, 7, 29, 0.25
1, 7, 8, 7, 3, 0.25
1, 8, 9, 7, 40, 0.25
1, 1, 2, 8, 15, 0.25
1, 1, 4, 8, 3, 0.25
1, 2, 3, 8, 17, 0.25
1, 2, 5, 8, 15, 0.25
1, 3, 6, 8, 39, 0.25
1, 4, 5, 8, 33, 0.25
1, 4, 7, 8, 32, 0.25
1, 5, 6, 8, 41, 0.25
1, 5, 8, 8, 7, 0.25
1, 6, 9, 8, 28, 0.25
1, 7, 8, 8, 37, 0.25
1, 8, 9, 8, 27, 0.25
1, 1, 2, 9, 19, 0.25
1, 1, 4, 9, 8, 0.25
1, 2, 3, 9, 30, 0.25
1, 2, 5, 9, 43, 0.25
1, 3, 6, 9, 22, 0.25
1, 4, 5, 9, 14, 0.25
1, 4, 7, 9, 31, 0.25
1, 5, 6, 9, 2, 0.25
1, 5, 8, 9, 41, 0.25
1, 6, 9, 9, 27, 0.25
1, 7, 8, 9, 7, 0.25
1, 8, 9, 9, 29, 0.25
1, 1, 2, 10, 42, 0.25
1, 1, 4, 10, 16, 0.25
1, 2, 3, 10, 22, 0.25
1, 2, 5, 10, 40, 0.25
1, 3, 6, 10, 7, 0.25
1, 4, 5, 10, 38, 0.25
1, 4, 7, 10, 17, 0.25
1, 5, 6, 10, 32, 0.25
1, 5, 8, 10, 4, 0.25
1, 6, 9, 10, 13, 0.25
1, 7, 8, 10, 6, 0.25
1, 8, 9, 10, 43, 0.25
1, 1, 2, 11, 27, 0.25
1, 1, 4, 11, 5, 0.25
1, 2, 3, 11, 26, 0.25
1, 2, 5, 11, 14, 0.25
1, 3, 6, 11, 40, 0.25
1, 4, 5, 11, 2, 0.25
1, 4, 7, 11, 2, 0.25
1, 5, 6, 11, 21, 0.25
1, 5, 8, 11, 13, 0.25
1, 6, 9, 11, 28, 0.25
1, 7, 8, 11, 18, 0.25
1, 8, 9, 11, 20, 0.25
1, 1, 2, 12, 20, 0.25
1, 1, 4, 12, 39, 0.25
1, 2, 3, 12, 38, 0.25
1, 2, 5, 12, 17, 0.25
1, 3, 6, 12, 13, 0.25
1, 4, 5, 12, 9, 0.25
1, 4, 7, 12, 41, 0.25
1, 5, 6, 12, 8, 0.25
1, 5, 8, 12, 4, 0.25
1, 6, 9, 12, 25, 0.25
1, 7, 8, 12, 16, 0.25
1, 8, 9, 12, 24, 0.25
